cell	celltype	TREATMENT
Immunodeficiency7827788	SM B-cells	CONTROL
Immunodeficiency7827789	USM B-cells	CONTROL
Immunodeficiency7827790	SM B-cells	CONTROL
Immunodeficiency7827791	USM B-cells	CONTROL
Immunodeficiency7827792	SM B-cells	CONTROL
Immunodeficiency7827793	USM B-cells	CONTROL
Immunodeficiency7827794	SM B-cells	CONTROL
Immunodeficiency7827795	USM B-cells	CONTROL
Immunodeficiency7827796	SM B-cells	CONTROL
Immunodeficiency7827797	USM B-cells	CONTROL
Immunodeficiency7827798	SM B-cells	CONTROL
Immunodeficiency7827799	USM B-cells	CONTROL
Immunodeficiency7827800	SM B-cells	CONTROL
Immunodeficiency7827801	USM B-cells	CONTROL
Immunodeficiency7827802	SM B-cells	CONTROL
Immunodeficiency7827803	SM B-cells	CVID
Immunodeficiency7827804	SM B-cells	CONTROL
Immunodeficiency7827805	SM B-cells	CVID
Immunodeficiency7827806	SM B-cells	CONTROL
Immunodeficiency7827807	SM B-cells	CVID
Immunodeficiency7827808	SM B-cells	CONTROL
Immunodeficiency7827809	SM B-cells	CVID
Immunodeficiency7827810	SM B-cells	CONTROL
Immunodeficiency7827811	SM B-cells	CVID
Immunodeficiency7827812	SM B-cells	CONTROL
Immunodeficiency7827813	SM B-cells	CVID
Immunodeficiency7827814	SM B-cells	CONTROL
Immunodeficiency7827815	SM B-cells	CVID
Immunodeficiency7827816	SM B-cells	CONTROL
Immunodeficiency7827817	SM B-cells	CVID
Immunodeficiency7827818	SM B-cells	CONTROL
Immunodeficiency7827819	USM B-cells	CONTROL
Immunodeficiency7827820	SM B-cells	CONTROL
Immunodeficiency7827821	USM B-cells	CONTROL
Immunodeficiency7827822	SM B-cells	CONTROL
Immunodeficiency7827823	USM B-cells	CONTROL
Immunodeficiency7827824	SM B-cells	CONTROL
Immunodeficiency7827825	USM B-cells	CONTROL
Immunodeficiency7827826	SM B-cells	CONTROL
Immunodeficiency7827827	USM B-cells	CONTROL
Immunodeficiency7827828	SM B-cells	CONTROL
Immunodeficiency7827829	USM B-cells	CONTROL
Immunodeficiency7827830	SM B-cells	CONTROL
Immunodeficiency7827831	USM B-cells	CONTROL
Immunodeficiency7827832	SM B-cells	CONTROL
Immunodeficiency7827833	USM B-cells	CONTROL
Immunodeficiency7827834	SM B-cells	CONTROL
Immunodeficiency7827835	SM B-cells	CVID
Immunodeficiency7827836	SM B-cells	CONTROL
Immunodeficiency7827837	SM B-cells	CVID
Immunodeficiency7827838	SM B-cells	CONTROL
Immunodeficiency7827839	SM B-cells	CVID
Immunodeficiency7827840	SM B-cells	CONTROL
Immunodeficiency7827841	SM B-cells	CVID
Immunodeficiency7827842	SM B-cells	CONTROL
Immunodeficiency7827843	SM B-cells	CVID
Immunodeficiency7827844	SM B-cells	CONTROL
Immunodeficiency7827845	SM B-cells	CVID
Immunodeficiency7827846	SM B-cells	CONTROL
Immunodeficiency7827847	SM B-cells	CVID
Immunodeficiency7827848	SM B-cells	CONTROL
Immunodeficiency7827849	SM B-cells	CVID
Immunodeficiency7827850	SM B-cells	CONTROL
Immunodeficiency7827851	USM B-cells	CONTROL
Immunodeficiency7827852	SM B-cells	CONTROL
Immunodeficiency7827853	USM B-cells	CONTROL
Immunodeficiency7827854	SM B-cells	CONTROL
Immunodeficiency7827855	USM B-cells	CONTROL
Immunodeficiency7827856	SM B-cells	CONTROL
Immunodeficiency7827857	USM B-cells	CONTROL
Immunodeficiency7827858	SM B-cells	CONTROL
Immunodeficiency7827859	USM B-cells	CONTROL
Immunodeficiency7827860	SM B-cells	CONTROL
Immunodeficiency7827861	USM B-cells	CONTROL
Immunodeficiency7827862	SM B-cells	CONTROL
Immunodeficiency7827863	USM B-cells	CONTROL
Immunodeficiency7827864	SM B-cells	CONTROL
Immunodeficiency7827865	USM B-cells	CONTROL
Immunodeficiency7827866	SM B-cells	CONTROL
Immunodeficiency7827867	SM B-cells	CVID
Immunodeficiency7827868	SM B-cells	CONTROL
Immunodeficiency7827869	SM B-cells	CVID
Immunodeficiency7827870	SM B-cells	CONTROL
Immunodeficiency7827871	SM B-cells	CVID
Immunodeficiency7827872	SM B-cells	CONTROL
Immunodeficiency7827873	SM B-cells	CVID
Immunodeficiency7827874	SM B-cells	CONTROL
Immunodeficiency7827875	SM B-cells	CVID
Immunodeficiency7827876	SM B-cells	CONTROL
Immunodeficiency7827877	SM B-cells	CVID
Immunodeficiency7827878	SM B-cells	CONTROL
Immunodeficiency7827879	SM B-cells	CVID
Immunodeficiency7827880	SM B-cells	CONTROL
Immunodeficiency7827881	SM B-cells	CVID
Immunodeficiency7827882	SM B-cells	CONTROL
Immunodeficiency7827883	USM B-cells	CONTROL
Immunodeficiency7827884	SM B-cells	CONTROL
Immunodeficiency7827885	USM B-cells	CONTROL
Immunodeficiency7827886	SM B-cells	CONTROL
Immunodeficiency7827887	USM B-cells	CONTROL
Immunodeficiency7827888	SM B-cells	CONTROL
Immunodeficiency7827889	USM B-cells	CONTROL
Immunodeficiency7827890	SM B-cells	CONTROL
Immunodeficiency7827891	USM B-cells	CONTROL
Immunodeficiency7827892	SM B-cells	CONTROL
Immunodeficiency7827893	USM B-cells	CONTROL
Immunodeficiency7827894	SM B-cells	CONTROL
Immunodeficiency7827895	USM B-cells	CONTROL
Immunodeficiency7827896	SM B-cells	CONTROL
Immunodeficiency7827897	USM B-cells	CONTROL
Immunodeficiency7827898	SM B-cells	CONTROL
Immunodeficiency7827899	SM B-cells	CVID
Immunodeficiency7827900	SM B-cells	CONTROL
Immunodeficiency7827901	SM B-cells	CVID
Immunodeficiency7827902	SM B-cells	CONTROL
Immunodeficiency7827903	SM B-cells	CVID
Immunodeficiency7827904	SM B-cells	CONTROL
Immunodeficiency7827905	SM B-cells	CVID
Immunodeficiency7827906	SM B-cells	CONTROL
Immunodeficiency7827907	SM B-cells	CVID
Immunodeficiency7827908	SM B-cells	CONTROL
Immunodeficiency7827909	SM B-cells	CVID
Immunodeficiency7827910	SM B-cells	CONTROL
Immunodeficiency7827911	SM B-cells	CVID
Immunodeficiency7827912	SM B-cells	CONTROL
Immunodeficiency7827913	SM B-cells	CVID
Immunodeficiency7827914	SM B-cells	CONTROL
Immunodeficiency7827915	USM B-cells	CONTROL
Immunodeficiency7827916	SM B-cells	CONTROL
Immunodeficiency7827917	USM B-cells	CONTROL
Immunodeficiency7827918	SM B-cells	CONTROL
Immunodeficiency7827919	USM B-cells	CONTROL
Immunodeficiency7827920	SM B-cells	CONTROL
Immunodeficiency7827921	USM B-cells	CONTROL
Immunodeficiency7827922	SM B-cells	CONTROL
Immunodeficiency7827923	USM B-cells	CONTROL
Immunodeficiency7827924	SM B-cells	CONTROL
Immunodeficiency7827925	USM B-cells	CONTROL
Immunodeficiency7827926	SM B-cells	CONTROL
Immunodeficiency7827927	USM B-cells	CONTROL
Immunodeficiency7827928	SM B-cells	CONTROL
Immunodeficiency7827929	USM B-cells	CONTROL
Immunodeficiency7827930	SM B-cells	CONTROL
Immunodeficiency7827931	SM B-cells	CVID
Immunodeficiency7827932	SM B-cells	CONTROL
Immunodeficiency7827933	SM B-cells	CVID
Immunodeficiency7827934	SM B-cells	CONTROL
Immunodeficiency7827935	SM B-cells	CVID
Immunodeficiency7827936	SM B-cells	CONTROL
Immunodeficiency7827937	SM B-cells	CVID
Immunodeficiency7827938	SM B-cells	CONTROL
Immunodeficiency7827939	SM B-cells	CVID
Immunodeficiency7827940	SM B-cells	CONTROL
Immunodeficiency7827941	SM B-cells	CVID
Immunodeficiency7827942	SM B-cells	CONTROL
Immunodeficiency7827943	SM B-cells	CVID
Immunodeficiency7827944	SM B-cells	CONTROL
Immunodeficiency7827945	SM B-cells	CVID
Immunodeficiency7827946	SM B-cells	CONTROL
Immunodeficiency7827947	USM B-cells	CONTROL
Immunodeficiency7827948	SM B-cells	CONTROL
Immunodeficiency7827949	USM B-cells	CONTROL
Immunodeficiency7827950	SM B-cells	CONTROL
Immunodeficiency7827951	USM B-cells	CONTROL
Immunodeficiency7827952	SM B-cells	CONTROL
Immunodeficiency7827953	USM B-cells	CONTROL
Immunodeficiency7827954	SM B-cells	CONTROL
Immunodeficiency7827955	USM B-cells	CONTROL
Immunodeficiency7827956	SM B-cells	CONTROL
Immunodeficiency7827957	USM B-cells	CONTROL
Immunodeficiency7827958	SM B-cells	CONTROL
Immunodeficiency7827959	USM B-cells	CONTROL
Immunodeficiency7827960	SM B-cells	CONTROL
Immunodeficiency7827961	USM B-cells	CONTROL
Immunodeficiency7827962	SM B-cells	CONTROL
Immunodeficiency7827963	SM B-cells	CVID
Immunodeficiency7827964	SM B-cells	CONTROL
Immunodeficiency7827965	SM B-cells	CVID
Immunodeficiency7827966	SM B-cells	CONTROL
Immunodeficiency7827967	SM B-cells	CVID
Immunodeficiency7827968	SM B-cells	CONTROL
Immunodeficiency7827969	SM B-cells	CVID
Immunodeficiency7827970	SM B-cells	CONTROL
Immunodeficiency7827971	SM B-cells	CVID
Immunodeficiency7827972	SM B-cells	CONTROL
Immunodeficiency7827973	SM B-cells	CVID
Immunodeficiency7827974	SM B-cells	CONTROL
Immunodeficiency7827975	SM B-cells	CVID
Immunodeficiency7827976	SM B-cells	CONTROL
Immunodeficiency7827977	SM B-cells	CVID
Immunodeficiency7827978	SM B-cells	CONTROL
Immunodeficiency7827979	USM B-cells	CONTROL
Immunodeficiency7827980	SM B-cells	CONTROL
Immunodeficiency7827981	USM B-cells	CONTROL
Immunodeficiency7827982	SM B-cells	CONTROL
Immunodeficiency7827983	USM B-cells	CONTROL
Immunodeficiency7827984	SM B-cells	CONTROL
Immunodeficiency7827985	USM B-cells	CONTROL
Immunodeficiency7827986	SM B-cells	CONTROL
Immunodeficiency7827987	USM B-cells	CONTROL
Immunodeficiency7827988	SM B-cells	CONTROL
Immunodeficiency7827989	USM B-cells	CONTROL
Immunodeficiency7827990	SM B-cells	CONTROL
Immunodeficiency7827991	USM B-cells	CONTROL
Immunodeficiency7827992	SM B-cells	CONTROL
Immunodeficiency7827993	USM B-cells	CONTROL
Immunodeficiency7827994	SM B-cells	CONTROL
Immunodeficiency7827995	SM B-cells	CVID
Immunodeficiency7827996	SM B-cells	CONTROL
Immunodeficiency7827997	SM B-cells	CVID
Immunodeficiency7827998	SM B-cells	CONTROL
Immunodeficiency7827999	SM B-cells	CVID
Immunodeficiency7828000	SM B-cells	CONTROL
Immunodeficiency7828001	SM B-cells	CVID
Immunodeficiency7828002	SM B-cells	CONTROL
Immunodeficiency7828003	SM B-cells	CVID
Immunodeficiency7828004	SM B-cells	CONTROL
Immunodeficiency7828005	SM B-cells	CVID
Immunodeficiency7828006	SM B-cells	CONTROL
Immunodeficiency7828007	SM B-cells	CVID
