cell	celltype	TREATMENT
Immunodeficiency7828233	USM B-cells	CONTROL
Immunodeficiency7828234	Naive B-cells	CVID
Immunodeficiency7828235	USM B-cells	CVID
Immunodeficiency7828236	Naive B-cells	CVID
Immunodeficiency7828237	USM B-cells	CVID
Immunodeficiency7828238	Naive B-cells	CVID
Immunodeficiency7828239	USM B-cells	CVID
Immunodeficiency7828240	Naive B-cells	CVID
Immunodeficiency7828241	USM B-cells	CVID
Immunodeficiency7828242	Naive B-cells	CVID
Immunodeficiency7828243	USM B-cells	CVID
Immunodeficiency7828244	Naive B-cells	CVID
Immunodeficiency7828245	USM B-cells	CVID
Immunodeficiency7828246	Naive B-cells	CVID
Immunodeficiency7828247	USM B-cells	CVID
Immunodeficiency7828248	Naive B-cells	CVID
Immunodeficiency7828249	USM B-cells	CVID
Immunodeficiency7828250	SM B-cells	CVID
Immunodeficiency7828251	USM B-cells	CONTROL
Immunodeficiency7828252	SM B-cells	CVID
Immunodeficiency7828253	USM B-cells	CONTROL
Immunodeficiency7828254	SM B-cells	CVID
Immunodeficiency7828255	USM B-cells	CONTROL
Immunodeficiency7828256	SM B-cells	CVID
Immunodeficiency7828257	USM B-cells	CONTROL
Immunodeficiency7828258	SM B-cells	CVID
Immunodeficiency7828259	USM B-cells	CONTROL
Immunodeficiency7828260	SM B-cells	CVID
Immunodeficiency7828261	USM B-cells	CONTROL
Immunodeficiency7828262	SM B-cells	CVID
Immunodeficiency7828263	USM B-cells	CONTROL
Immunodeficiency7828264	SM B-cells	CVID
Immunodeficiency7828265	USM B-cells	CONTROL
Immunodeficiency7828266	Naive B-cells	CVID
Immunodeficiency7828267	USM B-cells	CVID
Immunodeficiency7828268	Naive B-cells	CVID
Immunodeficiency7828269	USM B-cells	CVID
Immunodeficiency7828270	Naive B-cells	CVID
Immunodeficiency7828271	USM B-cells	CVID
Immunodeficiency7828272	Naive B-cells	CVID
Immunodeficiency7828273	USM B-cells	CVID
Immunodeficiency7828274	Naive B-cells	CVID
Immunodeficiency7828275	USM B-cells	CVID
Immunodeficiency7828276	Naive B-cells	CVID
Immunodeficiency7828277	USM B-cells	CVID
Immunodeficiency7828278	Naive B-cells	CVID
Immunodeficiency7828279	USM B-cells	CVID
Immunodeficiency7828280	Naive B-cells	CVID
Immunodeficiency7828281	USM B-cells	CVID
Immunodeficiency7828282	SM B-cells	CVID
Immunodeficiency7828283	USM B-cells	CONTROL
Immunodeficiency7828284	SM B-cells	CVID
Immunodeficiency7828285	USM B-cells	CONTROL
Immunodeficiency7828286	SM B-cells	CVID
Immunodeficiency7828287	USM B-cells	CONTROL
Immunodeficiency7828288	SM B-cells	CVID
Immunodeficiency7828289	USM B-cells	CONTROL
Immunodeficiency7828290	SM B-cells	CVID
Immunodeficiency7828291	USM B-cells	CONTROL
Immunodeficiency7828292	SM B-cells	CVID
Immunodeficiency7828293	USM B-cells	CONTROL
Immunodeficiency7828294	SM B-cells	CVID
Immunodeficiency7828295	USM B-cells	CONTROL
Immunodeficiency7828296	SM B-cells	CVID
Immunodeficiency7828297	USM B-cells	CONTROL
Immunodeficiency7828298	Naive B-cells	CVID
Immunodeficiency7828299	USM B-cells	CVID
Immunodeficiency7828300	Naive B-cells	CVID
Immunodeficiency7828301	USM B-cells	CVID
Immunodeficiency7828302	Naive B-cells	CVID
Immunodeficiency7828303	USM B-cells	CVID
Immunodeficiency7828304	Naive B-cells	CVID
Immunodeficiency7828305	USM B-cells	CVID
Immunodeficiency7828306	Naive B-cells	CVID
Immunodeficiency7828307	USM B-cells	CVID
Immunodeficiency7828308	Naive B-cells	CVID
Immunodeficiency7828309	USM B-cells	CVID
Immunodeficiency7828310	Naive B-cells	CVID
Immunodeficiency7828311	USM B-cells	CVID
Immunodeficiency7828312	Naive B-cells	CVID
Immunodeficiency7828313	USM B-cells	CVID
Immunodeficiency7828314	SM B-cells	CVID
Immunodeficiency7828315	USM B-cells	CONTROL
Immunodeficiency7828316	SM B-cells	CVID
Immunodeficiency7828317	USM B-cells	CONTROL
Immunodeficiency7828318	SM B-cells	CVID
Immunodeficiency7828319	USM B-cells	CONTROL
Immunodeficiency7828320	SM B-cells	CVID
Immunodeficiency7828321	USM B-cells	CONTROL
Immunodeficiency7828322	SM B-cells	CVID
Immunodeficiency7828323	USM B-cells	CONTROL
Immunodeficiency7828324	SM B-cells	CVID
Immunodeficiency7828325	USM B-cells	CONTROL
Immunodeficiency7828326	SM B-cells	CVID
Immunodeficiency7828327	USM B-cells	CONTROL
Immunodeficiency7828328	SM B-cells	CVID
Immunodeficiency7828329	USM B-cells	CONTROL
Immunodeficiency7828330	Naive B-cells	CVID
Immunodeficiency7828331	USM B-cells	CVID
Immunodeficiency7828332	Naive B-cells	CVID
Immunodeficiency7828333	USM B-cells	CVID
Immunodeficiency7828334	Naive B-cells	CVID
Immunodeficiency7828335	USM B-cells	CVID
Immunodeficiency7828336	Naive B-cells	CVID
Immunodeficiency7828337	USM B-cells	CVID
Immunodeficiency7828338	Naive B-cells	CVID
Immunodeficiency7828339	USM B-cells	CVID
Immunodeficiency7828340	Naive B-cells	CVID
Immunodeficiency7828341	USM B-cells	CVID
Immunodeficiency7828342	Naive B-cells	CVID
Immunodeficiency7828343	USM B-cells	CVID
Immunodeficiency7828344	Naive B-cells	CVID
Immunodeficiency7828345	USM B-cells	CVID
Immunodeficiency7828346	SM B-cells	CVID
Immunodeficiency7828347	USM B-cells	CONTROL
Immunodeficiency7828348	SM B-cells	CVID
Immunodeficiency7828349	USM B-cells	CONTROL
Immunodeficiency7828350	SM B-cells	CVID
Immunodeficiency7828351	USM B-cells	CONTROL
Immunodeficiency7828352	SM B-cells	CVID
Immunodeficiency7828353	USM B-cells	CONTROL
Immunodeficiency7828354	SM B-cells	CVID
Immunodeficiency7828355	USM B-cells	CONTROL
Immunodeficiency7828356	SM B-cells	CVID
Immunodeficiency7828357	USM B-cells	CONTROL
Immunodeficiency7828358	SM B-cells	CVID
Immunodeficiency7828359	USM B-cells	CONTROL
Immunodeficiency7828360	SM B-cells	CVID
Immunodeficiency7828361	USM B-cells	CONTROL
Immunodeficiency7828362	Naive B-cells	CVID
Immunodeficiency7828363	USM B-cells	CVID
Immunodeficiency7828364	Naive B-cells	CVID
Immunodeficiency7828365	USM B-cells	CVID
Immunodeficiency7828366	Naive B-cells	CVID
Immunodeficiency7828367	USM B-cells	CVID
Immunodeficiency7828368	Naive B-cells	CVID
Immunodeficiency7828369	USM B-cells	CVID
Immunodeficiency7828370	Naive B-cells	CVID
Immunodeficiency7828371	USM B-cells	CVID
Immunodeficiency7828372	Naive B-cells	CVID
Immunodeficiency7828373	USM B-cells	CVID
Immunodeficiency7828374	Naive B-cells	CVID
Immunodeficiency7828375	USM B-cells	CVID
Immunodeficiency7828376	Naive B-cells	CVID
Immunodeficiency7828377	USM B-cells	CVID
Immunodeficiency7828378	SM B-cells	CVID
Immunodeficiency7828379	USM B-cells	CONTROL
Immunodeficiency7828380	SM B-cells	CVID
Immunodeficiency7828381	USM B-cells	CONTROL
Immunodeficiency7828382	SM B-cells	CVID
Immunodeficiency7828383	USM B-cells	CONTROL
Immunodeficiency7828384	SM B-cells	CVID
Immunodeficiency7828385	USM B-cells	CONTROL
Immunodeficiency7828386	SM B-cells	CVID
Immunodeficiency7828387	USM B-cells	CONTROL
Immunodeficiency7828388	SM B-cells	CVID
Immunodeficiency7828389	USM B-cells	CONTROL
Immunodeficiency7828390	SM B-cells	CVID
Immunodeficiency7828391	USM B-cells	CONTROL
Immunodeficiency7828392	SM B-cells	CVID
Immunodeficiency7828393	USM B-cells	CONTROL
Immunodeficiency7828394	Naive B-cells	CVID
Immunodeficiency7828395	USM B-cells	CVID
Immunodeficiency7828396	Naive B-cells	CVID
Immunodeficiency7828397	USM B-cells	CVID
Immunodeficiency7828398	Naive B-cells	CVID
Immunodeficiency7828399	USM B-cells	CVID
Immunodeficiency7828400	Naive B-cells	CVID
Immunodeficiency7828401	USM B-cells	CVID
Immunodeficiency7828402	Naive B-cells	CVID
Immunodeficiency7828403	USM B-cells	CVID
Immunodeficiency7828404	Naive B-cells	CVID
Immunodeficiency7828405	USM B-cells	CVID
Immunodeficiency7828406	Naive B-cells	CVID
Immunodeficiency7828407	USM B-cells	CVID
Immunodeficiency7828408	Naive B-cells	CVID
Immunodeficiency7828409	USM B-cells	CVID
Immunodeficiency7828410	SM B-cells	CVID
Immunodeficiency7828411	USM B-cells	CONTROL
Immunodeficiency7828412	SM B-cells	CVID
Immunodeficiency7828413	USM B-cells	CONTROL
Immunodeficiency7828414	SM B-cells	CVID
Immunodeficiency7828415	USM B-cells	CONTROL
Immunodeficiency7828416	SM B-cells	CVID
Immunodeficiency7828417	USM B-cells	CONTROL
Immunodeficiency7828418	SM B-cells	CVID
Immunodeficiency7828419	USM B-cells	CONTROL
Immunodeficiency7828420	SM B-cells	CVID
Immunodeficiency7828421	USM B-cells	CONTROL
Immunodeficiency7828422	SM B-cells	CVID
Immunodeficiency7828423	USM B-cells	CONTROL
Immunodeficiency7828424	SM B-cells	CVID
Immunodeficiency7828425	USM B-cells	CONTROL
Immunodeficiency7828426	USM B-cells	CVID
Immunodeficiency7828427	Naive B-cells	CVID
Immunodeficiency7828428	USM B-cells	CVID
Immunodeficiency7828429	Naive B-cells	CVID
Immunodeficiency7828430	USM B-cells	CVID
Immunodeficiency7828431	Naive B-cells	CVID
Immunodeficiency7828432	USM B-cells	CVID
Immunodeficiency7828433	Naive B-cells	CVID
Immunodeficiency7828434	USM B-cells	CVID
Immunodeficiency7828435	Naive B-cells	CVID
Immunodeficiency7828436	USM B-cells	CVID
Immunodeficiency7828437	Naive B-cells	CVID
Immunodeficiency7828438	USM B-cells	CVID
Immunodeficiency7828439	Naive B-cells	CVID
Immunodeficiency7828440	USM B-cells	CVID
Immunodeficiency7828441	Naive B-cells	CVID
Immunodeficiency7828442	Naive B-cells	CONTROL
Immunodeficiency7828443	Naive B-cells	CVID
Immunodeficiency7828444	Naive B-cells	CONTROL
Immunodeficiency7828445	Naive B-cells	CVID
Immunodeficiency7828446	Naive B-cells	CONTROL
Immunodeficiency7828447	Naive B-cells	CVID
Immunodeficiency7828448	Naive B-cells	CONTROL
Immunodeficiency7828449	Naive B-cells	CVID
Immunodeficiency7828450	Naive B-cells	CONTROL
Immunodeficiency7828451	Naive B-cells	CVID
Immunodeficiency7828452	Naive B-cells	CONTROL
Immunodeficiency7828453	Naive B-cells	CVID
Immunodeficiency7828454	Naive B-cells	CONTROL
Immunodeficiency7828455	Naive B-cells	CVID
Immunodeficiency7828456	Naive B-cells	CONTROL
Immunodeficiency7828457	Naive B-cells	CVID
Immunodeficiency7828458	USM B-cells	CVID
Immunodeficiency7828459	Naive B-cells	CVID
Immunodeficiency7828460	USM B-cells	CVID
Immunodeficiency7828461	Naive B-cells	CVID
Immunodeficiency7828462	USM B-cells	CVID
Immunodeficiency7828463	Naive B-cells	CVID
Immunodeficiency7828464	USM B-cells	CVID
Immunodeficiency7828465	Naive B-cells	CVID
Immunodeficiency7828466	USM B-cells	CVID
Immunodeficiency7828467	Naive B-cells	CVID
Immunodeficiency7828468	USM B-cells	CVID
Immunodeficiency7828469	Naive B-cells	CVID
Immunodeficiency7828470	USM B-cells	CVID
Immunodeficiency7828471	Naive B-cells	CVID
Immunodeficiency7828472	USM B-cells	CVID
Immunodeficiency7828473	Naive B-cells	CVID
Immunodeficiency7828474	Naive B-cells	CONTROL
Immunodeficiency7828475	Naive B-cells	CVID
Immunodeficiency7828476	Naive B-cells	CONTROL
Immunodeficiency7828477	Naive B-cells	CVID
Immunodeficiency7828478	Naive B-cells	CONTROL
Immunodeficiency7828479	Naive B-cells	CVID
Immunodeficiency7828480	Naive B-cells	CONTROL
Immunodeficiency7828481	Naive B-cells	CVID
Immunodeficiency7828482	Naive B-cells	CONTROL
Immunodeficiency7828483	Naive B-cells	CVID
Immunodeficiency7828484	Naive B-cells	CONTROL
Immunodeficiency7828485	Naive B-cells	CVID
Immunodeficiency7828486	Naive B-cells	CONTROL
Immunodeficiency7828487	Naive B-cells	CVID
Immunodeficiency7828488	Naive B-cells	CONTROL
Immunodeficiency7828489	Naive B-cells	CVID
Immunodeficiency7828490	USM B-cells	CVID
Immunodeficiency7828491	Naive B-cells	CVID
Immunodeficiency7828492	USM B-cells	CVID
Immunodeficiency7828493	Naive B-cells	CVID
Immunodeficiency7828494	USM B-cells	CVID
Immunodeficiency7828495	Naive B-cells	CVID
Immunodeficiency7828496	USM B-cells	CVID
Immunodeficiency7828497	Naive B-cells	CVID
Immunodeficiency7828498	USM B-cells	CVID
Immunodeficiency7828499	Naive B-cells	CVID
Immunodeficiency7828500	USM B-cells	CVID
Immunodeficiency7828501	Naive B-cells	CVID
Immunodeficiency7828502	USM B-cells	CVID
Immunodeficiency7828503	Naive B-cells	CVID
Immunodeficiency7828504	USM B-cells	CVID
Immunodeficiency7828505	Naive B-cells	CVID
Immunodeficiency7828506	Naive B-cells	CONTROL
Immunodeficiency7828507	Naive B-cells	CVID
Immunodeficiency7828508	Naive B-cells	CONTROL
Immunodeficiency7828509	Naive B-cells	CVID
Immunodeficiency7828510	Naive B-cells	CONTROL
Immunodeficiency7828511	Naive B-cells	CVID
Immunodeficiency7828512	Naive B-cells	CONTROL
Immunodeficiency7828513	Naive B-cells	CVID
Immunodeficiency7828514	Naive B-cells	CONTROL
Immunodeficiency7828515	Naive B-cells	CVID
Immunodeficiency7828516	Naive B-cells	CONTROL
Immunodeficiency7828517	Naive B-cells	CVID
Immunodeficiency7828518	Naive B-cells	CONTROL
Immunodeficiency7828519	Naive B-cells	CVID
Immunodeficiency7828520	Naive B-cells	CONTROL
Immunodeficiency7828521	Naive B-cells	CVID
Immunodeficiency7828522	USM B-cells	CVID
Immunodeficiency7828523	Naive B-cells	CVID
Immunodeficiency7828524	USM B-cells	CVID
Immunodeficiency7828525	Naive B-cells	CVID
Immunodeficiency7828526	USM B-cells	CVID
Immunodeficiency7828527	Naive B-cells	CVID
Immunodeficiency7828528	USM B-cells	CVID
Immunodeficiency7828529	Naive B-cells	CVID
Immunodeficiency7828530	USM B-cells	CVID
Immunodeficiency7828531	Naive B-cells	CVID
Immunodeficiency7828532	USM B-cells	CVID
Immunodeficiency7828533	Naive B-cells	CVID
Immunodeficiency7828534	USM B-cells	CVID
Immunodeficiency7828535	Naive B-cells	CVID
Immunodeficiency7828536	USM B-cells	CVID
Immunodeficiency7828537	Naive B-cells	CVID
Immunodeficiency7828538	Naive B-cells	CONTROL
Immunodeficiency7828539	Naive B-cells	CVID
Immunodeficiency7828540	Naive B-cells	CONTROL
Immunodeficiency7828541	Naive B-cells	CVID
Immunodeficiency7828542	Naive B-cells	CONTROL
Immunodeficiency7828543	Naive B-cells	CVID
Immunodeficiency7828544	Naive B-cells	CONTROL
Immunodeficiency7828545	Naive B-cells	CVID
Immunodeficiency7828546	Naive B-cells	CONTROL
Immunodeficiency7828547	Naive B-cells	CVID
Immunodeficiency7828548	Naive B-cells	CONTROL
Immunodeficiency7828549	Naive B-cells	CVID
Immunodeficiency7828550	Naive B-cells	CONTROL
Immunodeficiency7828551	Naive B-cells	CVID
Immunodeficiency7828552	Naive B-cells	CONTROL
Immunodeficiency7828553	Naive B-cells	CVID
Immunodeficiency7828554	USM B-cells	CVID
Immunodeficiency7828555	Naive B-cells	CVID
Immunodeficiency7828556	USM B-cells	CVID
Immunodeficiency7828557	Naive B-cells	CVID
Immunodeficiency7828558	USM B-cells	CVID
Immunodeficiency7828559	Naive B-cells	CVID
Immunodeficiency7828560	USM B-cells	CVID
Immunodeficiency7828561	Naive B-cells	CVID
Immunodeficiency7828562	USM B-cells	CVID
Immunodeficiency7828563	Naive B-cells	CVID
Immunodeficiency7828564	USM B-cells	CVID
Immunodeficiency7828565	Naive B-cells	CVID
Immunodeficiency7828566	USM B-cells	CVID
Immunodeficiency7828567	Naive B-cells	CVID
Immunodeficiency7828568	USM B-cells	CVID
Immunodeficiency7828569	Naive B-cells	CVID
Immunodeficiency7828570	Naive B-cells	CONTROL
Immunodeficiency7828571	Naive B-cells	CVID
Immunodeficiency7828572	Naive B-cells	CONTROL
Immunodeficiency7828573	Naive B-cells	CVID
Immunodeficiency7828574	Naive B-cells	CONTROL
Immunodeficiency7828575	Naive B-cells	CVID
Immunodeficiency7828576	Naive B-cells	CONTROL
Immunodeficiency7828577	Naive B-cells	CVID
Immunodeficiency7828578	Naive B-cells	CONTROL
Immunodeficiency7828579	Naive B-cells	CVID
Immunodeficiency7828580	Naive B-cells	CONTROL
Immunodeficiency7828581	Naive B-cells	CVID
Immunodeficiency7828582	Naive B-cells	CONTROL
Immunodeficiency7828583	Naive B-cells	CVID
Immunodeficiency7828584	Naive B-cells	CONTROL
Immunodeficiency7828585	Naive B-cells	CVID
Immunodeficiency7828586	USM B-cells	CVID
Immunodeficiency7828587	Naive B-cells	CVID
Immunodeficiency7828588	USM B-cells	CVID
Immunodeficiency7828589	Naive B-cells	CVID
Immunodeficiency7828590	USM B-cells	CVID
Immunodeficiency7828591	Naive B-cells	CVID
Immunodeficiency7828592	USM B-cells	CVID
Immunodeficiency7828593	Naive B-cells	CVID
Immunodeficiency7828594	USM B-cells	CVID
Immunodeficiency7828595	Naive B-cells	CVID
Immunodeficiency7828596	USM B-cells	CVID
Immunodeficiency7828597	Naive B-cells	CVID
Immunodeficiency7828598	USM B-cells	CVID
Immunodeficiency7828599	Naive B-cells	CVID
Immunodeficiency7828600	USM B-cells	CVID
Immunodeficiency7828601	Naive B-cells	CVID
Immunodeficiency7828602	Naive B-cells	CONTROL
Immunodeficiency7828603	Naive B-cells	CVID
Immunodeficiency7828604	Naive B-cells	CONTROL
Immunodeficiency7828605	Naive B-cells	CVID
Immunodeficiency7828606	Naive B-cells	CONTROL
Immunodeficiency7828607	Naive B-cells	CVID
Immunodeficiency7828608	Naive B-cells	CONTROL
Immunodeficiency7828609	Naive B-cells	CVID
Immunodeficiency7828610	Naive B-cells	CONTROL
Immunodeficiency7828611	Naive B-cells	CVID
Immunodeficiency7828612	Naive B-cells	CONTROL
Immunodeficiency7828613	Naive B-cells	CVID
Immunodeficiency7828614	Naive B-cells	CONTROL
Immunodeficiency7828615	Naive B-cells	CVID
Immunodeficiency7828616	Naive B-cells	CONTROL
Immunodeficiency7828617	Naive B-cells	CVID
Immunodeficiency7828618	USM B-cells	CVID
Immunodeficiency7828619	Naive B-cells	CVID
Immunodeficiency7828620	USM B-cells	CVID
Immunodeficiency7828621	Naive B-cells	CVID
Immunodeficiency7828622	USM B-cells	CVID
Immunodeficiency7828623	Naive B-cells	CVID
Immunodeficiency7828624	USM B-cells	CVID
Immunodeficiency7828625	Naive B-cells	CVID
Immunodeficiency7828626	USM B-cells	CVID
Immunodeficiency7828627	Naive B-cells	CVID
Immunodeficiency7828628	USM B-cells	CVID
Immunodeficiency7828629	Naive B-cells	CVID
Immunodeficiency7828630	USM B-cells	CVID
Immunodeficiency7828631	Naive B-cells	CVID
Immunodeficiency7828632	USM B-cells	CVID
Immunodeficiency7828633	Naive B-cells	CVID
Immunodeficiency7828634	Naive B-cells	CONTROL
Immunodeficiency7828635	Naive B-cells	CVID
Immunodeficiency7828636	Naive B-cells	CONTROL
Immunodeficiency7828637	Naive B-cells	CVID
Immunodeficiency7828638	Naive B-cells	CONTROL
Immunodeficiency7828639	Naive B-cells	CVID
Immunodeficiency7828640	Naive B-cells	CONTROL
Immunodeficiency7828641	Naive B-cells	CVID
Immunodeficiency7828642	Naive B-cells	CONTROL
Immunodeficiency7828643	Naive B-cells	CVID
Immunodeficiency7828644	Naive B-cells	CONTROL
Immunodeficiency7828645	Naive B-cells	CVID
Immunodeficiency7828646	Naive B-cells	CONTROL
Immunodeficiency7828647	Naive B-cells	CVID
Immunodeficiency7828648	Naive B-cells	CONTROL
Immunodeficiency7828649	Naive B-cells	CVID
Immunodeficiency7828650	USM B-cells	CVID
Immunodeficiency7828651	Naive B-cells	CVID
Immunodeficiency7828652	USM B-cells	CVID
Immunodeficiency7828653	Naive B-cells	CVID
Immunodeficiency7828654	USM B-cells	CVID
Immunodeficiency7828655	Naive B-cells	CVID
Immunodeficiency7828656	USM B-cells	CVID
Immunodeficiency7828657	Naive B-cells	CVID
Immunodeficiency7828658	USM B-cells	CVID
Immunodeficiency7828659	Naive B-cells	CVID
Immunodeficiency7828660	USM B-cells	CVID
Immunodeficiency7828661	Naive B-cells	CVID
Immunodeficiency7828662	USM B-cells	CVID
Immunodeficiency7828663	Naive B-cells	CVID
Immunodeficiency7828664	USM B-cells	CVID
Immunodeficiency7828665	Naive B-cells	CVID
Immunodeficiency7828666	Naive B-cells	CONTROL
Immunodeficiency7828667	Naive B-cells	CVID
Immunodeficiency7828668	Naive B-cells	CONTROL
Immunodeficiency7828669	Naive B-cells	CVID
Immunodeficiency7828670	Naive B-cells	CONTROL
Immunodeficiency7828671	Naive B-cells	CVID
Immunodeficiency7828672	Naive B-cells	CONTROL
Immunodeficiency7828673	Naive B-cells	CVID
Immunodeficiency7828674	Naive B-cells	CONTROL
Immunodeficiency7828675	Naive B-cells	CVID
Immunodeficiency7828676	Naive B-cells	CONTROL
Immunodeficiency7828677	Naive B-cells	CVID
Immunodeficiency7828678	Naive B-cells	CONTROL
Immunodeficiency7828679	Naive B-cells	CVID
Immunodeficiency7828680	Naive B-cells	CONTROL
Immunodeficiency7828681	Naive B-cells	CVID
Immunodeficiency7828682	USM B-cells	CVID
Immunodeficiency7828683	Naive B-cells	CVID
Immunodeficiency7828684	USM B-cells	CVID
Immunodeficiency7828685	Naive B-cells	CVID
Immunodeficiency7828686	USM B-cells	CVID
Immunodeficiency7828687	Naive B-cells	CVID
Immunodeficiency7828688	USM B-cells	CVID
Immunodeficiency7828689	Naive B-cells	CVID
Immunodeficiency7828690	USM B-cells	CVID
Immunodeficiency7828691	Naive B-cells	CVID
Immunodeficiency7828692	USM B-cells	CVID
Immunodeficiency7828693	Naive B-cells	CVID
Immunodeficiency7828694	USM B-cells	CVID
Immunodeficiency7828695	Naive B-cells	CVID
Immunodeficiency7828696	USM B-cells	CVID
Immunodeficiency7828697	Naive B-cells	CVID
Immunodeficiency7828698	Naive B-cells	CONTROL
Immunodeficiency7828699	Naive B-cells	CVID
Immunodeficiency7828700	Naive B-cells	CONTROL
Immunodeficiency7828701	Naive B-cells	CVID
Immunodeficiency7828702	Naive B-cells	CONTROL
Immunodeficiency7828703	Naive B-cells	CVID
Immunodeficiency7828704	Naive B-cells	CONTROL
Immunodeficiency7828705	Naive B-cells	CVID
Immunodeficiency7828706	Naive B-cells	CONTROL
Immunodeficiency7828707	Naive B-cells	CVID
Immunodeficiency7828708	Naive B-cells	CONTROL
Immunodeficiency7828709	Naive B-cells	CVID
Immunodeficiency7828710	Naive B-cells	CONTROL
Immunodeficiency7828711	Naive B-cells	CVID
Immunodeficiency7828712	Naive B-cells	CONTROL
Immunodeficiency7828713	Naive B-cells	CVID
Immunodeficiency7828714	USM B-cells	CVID
Immunodeficiency7828715	Naive B-cells	CVID
Immunodeficiency7828716	USM B-cells	CVID
Immunodeficiency7828717	Naive B-cells	CVID
Immunodeficiency7828718	USM B-cells	CVID
Immunodeficiency7828719	Naive B-cells	CVID
Immunodeficiency7828720	USM B-cells	CVID
Immunodeficiency7828721	Naive B-cells	CVID
Immunodeficiency7828722	USM B-cells	CVID
Immunodeficiency7828723	Naive B-cells	CVID
Immunodeficiency7828724	USM B-cells	CVID
Immunodeficiency7828725	Naive B-cells	CVID
Immunodeficiency7828726	USM B-cells	CVID
Immunodeficiency7828727	Naive B-cells	CVID
Immunodeficiency7828728	USM B-cells	CVID
Immunodeficiency7828729	Naive B-cells	CVID
Immunodeficiency7828730	Naive B-cells	CONTROL
Immunodeficiency7828731	Naive B-cells	CVID
Immunodeficiency7828732	Naive B-cells	CONTROL
Immunodeficiency7828733	Naive B-cells	CVID
Immunodeficiency7828734	Naive B-cells	CONTROL
Immunodeficiency7828735	Naive B-cells	CVID
Immunodeficiency7828736	Naive B-cells	CONTROL
Immunodeficiency7828737	Naive B-cells	CVID
Immunodeficiency7828738	Naive B-cells	CONTROL
Immunodeficiency7828739	Naive B-cells	CVID
Immunodeficiency7828740	Naive B-cells	CONTROL
Immunodeficiency7828741	Naive B-cells	CVID
Immunodeficiency7828742	Naive B-cells	CONTROL
Immunodeficiency7828743	Naive B-cells	CVID
Immunodeficiency7828744	Naive B-cells	CONTROL
Immunodeficiency7828745	Naive B-cells	CVID
Immunodeficiency7828746	USM B-cells	CVID
Immunodeficiency7828747	Naive B-cells	CVID
Immunodeficiency7828748	USM B-cells	CVID
Immunodeficiency7828749	Naive B-cells	CVID
Immunodeficiency7828750	USM B-cells	CVID
Immunodeficiency7828751	Naive B-cells	CVID
Immunodeficiency7828752	USM B-cells	CVID
Immunodeficiency7828753	Naive B-cells	CVID
Immunodeficiency7828754	USM B-cells	CVID
Immunodeficiency7828755	Naive B-cells	CVID
Immunodeficiency7828756	USM B-cells	CVID
Immunodeficiency7828757	Naive B-cells	CVID
Immunodeficiency7828758	USM B-cells	CVID
Immunodeficiency7828759	Naive B-cells	CVID
Immunodeficiency7828760	USM B-cells	CVID
Immunodeficiency7828761	Naive B-cells	CVID
Immunodeficiency7828762	Naive B-cells	CONTROL
Immunodeficiency7828763	Naive B-cells	CVID
Immunodeficiency7828764	Naive B-cells	CONTROL
Immunodeficiency7828765	Naive B-cells	CVID
Immunodeficiency7828766	Naive B-cells	CONTROL
Immunodeficiency7828767	Naive B-cells	CVID
Immunodeficiency7828768	Naive B-cells	CONTROL
Immunodeficiency7828769	Naive B-cells	CVID
Immunodeficiency7828770	Naive B-cells	CONTROL
Immunodeficiency7828771	Naive B-cells	CVID
Immunodeficiency7828772	Naive B-cells	CONTROL
Immunodeficiency7828773	Naive B-cells	CVID
Immunodeficiency7828774	Naive B-cells	CONTROL
Immunodeficiency7828775	Naive B-cells	CVID
Immunodeficiency7828776	Naive B-cells	CONTROL
Immunodeficiency7828777	Naive B-cells	CVID
Immunodeficiency7828778	USM B-cells	CVID
Immunodeficiency7828779	Naive B-cells	CVID
Immunodeficiency7828780	USM B-cells	CVID
Immunodeficiency7828781	Naive B-cells	CVID
Immunodeficiency7828782	USM B-cells	CVID
Immunodeficiency7828783	Naive B-cells	CVID
Immunodeficiency7828784	USM B-cells	CVID
Immunodeficiency7828785	Naive B-cells	CVID
Immunodeficiency7828786	USM B-cells	CVID
Immunodeficiency7828787	Naive B-cells	CVID
Immunodeficiency7828788	USM B-cells	CVID
Immunodeficiency7828789	Naive B-cells	CVID
Immunodeficiency7828790	USM B-cells	CVID
Immunodeficiency7828791	Naive B-cells	CVID
Immunodeficiency7828792	USM B-cells	CVID
Immunodeficiency7828793	Naive B-cells	CVID
Immunodeficiency7828794	Naive B-cells	CONTROL
Immunodeficiency7828795	Naive B-cells	CVID
Immunodeficiency7828796	Naive B-cells	CONTROL
Immunodeficiency7828797	Naive B-cells	CVID
Immunodeficiency7828798	Naive B-cells	CONTROL
Immunodeficiency7828799	Naive B-cells	CVID
Immunodeficiency7828800	Naive B-cells	CONTROL
Immunodeficiency7828801	Naive B-cells	CVID
Immunodeficiency7828802	Naive B-cells	CONTROL
Immunodeficiency7828803	Naive B-cells	CVID
Immunodeficiency7828804	Naive B-cells	CONTROL
Immunodeficiency7828805	Naive B-cells	CVID
Immunodeficiency7828806	Naive B-cells	CONTROL
Immunodeficiency7828807	Naive B-cells	CVID
Immunodeficiency7828808	Naive B-cells	CONTROL
Immunodeficiency7828809	Naive B-cells	CVID
Immunodeficiency7828810	Naive B-cells	CONTROL
Immunodeficiency7828811	Naive B-cells	CONTROL
Immunodeficiency7828812	Naive B-cells	CONTROL
